"","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade","block_year"
"387",74,2013,733,908,89,0,41,214,0,18557,0,8875,4282,326,169,0,0,0,29502,0,11123,0,5658,0,0,732,0,4298,0,5241,0,0,0,0,840,8587,0,0,0,0,1571,0,2605,0,791,543,109,174,24,13,0,5,2,6,1,7,5,2,3,0,12,79,1,6,20,1,0,"74_2013"
"388",74,2014,733,1329,90,0,41,214,0,18487,0,8986,5993,353,169,0,0,0,26557,0,11268,0,5658,0,0,732,0,4298,0,5401,0,0,0,0,840,8587,0,0,0,0,0,0,5382,0,472,543,109,174,29,7,0,3,0,9,0,7,4,3,3,0,15,75,1,6,22,1,1,"74_2014"
"389",74,2015,733,1329,90,0,41,214,0,18487,0,8986,5993,353,169,0,0,0,26557,0,11268,0,5658,0,0,732,0,4298,0,5401,0,0,0,0,840,8587,0,0,0,0,0,0,5382,0,472,543,109,174,29,7,0,3,0,9,0,7,4,3,3,0,15,75,1,6,22,1,1,"74_2015"
"390",74,2016,733,1700,98,0,41,214,0,16597,0,2659,7073,353,0,0,0,0,26030,0,9398,0,5658,0,0,560,0,4007,0,4818,0,0,0,0,478,8685,0,0,8634,0,0,0,5452,0,514,460,109,174,31,9,0,1,1,8,0,7,2,1,4,0,16,69,0,6,18,1,0,"74_2016"
"391",74,2017,733,1700,98,0,41,214,0,16597,0,2659,7073,353,0,0,0,0,26030,0,9398,0,5658,0,0,560,0,4007,0,4818,0,0,0,0,478,8685,0,0,8634,0,0,0,5452,0,514,460,109,174,31,9,0,1,1,8,0,7,2,1,4,0,16,69,0,6,18,1,0,"74_2017"
"392",74,2018,1319,1882,92,0,41,214,10639,23635,0,3086,6524,2520,0,0,0,0,19780,0,0,0,5658,0,0,493,0,4007,0,4073,0,0,0,0,529,8685,0,0,7053,0,12462,0,5165,0,442,0,109,174,30,8,0,2,3,8,0,7,2,1,3,0,15,60,0,6,13,0,1,"74_2018"
"393",74,2019,1319,1882,92,0,41,214,10639,23635,0,3086,6524,2520,0,0,0,0,19780,0,0,0,5658,0,0,493,0,4007,0,4073,0,0,0,0,529,8685,0,0,7053,0,12462,0,5165,0,442,0,109,174,30,8,0,2,3,8,0,7,2,1,3,0,15,60,0,6,13,0,1,"74_2019"
"394",76,2013,1645,1259,570,0,593,0,0,55584,0,0,7567,0,2036,0,0,0,66149,0,48790,0,20859,0,0,0,0,38550,0,31231,0,607,0,0,0,0,0,0,0,0,0,0,3255,0,0,1150,415,114,40,2,0,4,1,0,0,4,15,3,1,1,10,2,0,0,55,1,0,"76_2013"
"395",76,2014,840,1820,526,0,593,0,0,55636,0,0,7916,0,2710,0,0,0,52861,0,48790,0,20859,0,0,0,0,38550,0,31941,0,267,0,0,0,0,0,0,0,0,0,0,15097,0,0,1150,415,114,41,2,0,4,1,1,0,4,16,3,1,0,11,2,1,1,50,1,0,"76_2014"
"396",76,2015,840,1820,526,0,593,0,0,55636,0,0,7916,0,2710,0,0,0,52861,0,48790,0,20859,0,0,0,0,38550,0,31941,0,267,0,0,0,0,0,0,0,0,0,0,15097,0,0,1150,415,114,41,2,0,4,1,1,0,4,16,3,1,0,11,2,1,1,50,1,0,"76_2015"
