"","year_completed","block_id","ev_clue_small_area","dv_parking_per_dwelling","ev_percent_single_bedroom","ev_percent_two_bedrooms","ev_percent_three_bedrooms","ev_percent_student_accommodation","ev_bike_per_dwelling"
"1",2013,16,"CBD",0,0,0,100,0,0
"2",2013,61,"CBD",0,60.5150214592275,39.4849785407725,0,0,0
"3",2013,256,"Elsewhere",0.619047619047619,78.5714285714286,19.047619047619,2.38095238095238,0,0.428571428571429
"4",2013,260,"Elsewhere",0,0,0,0,100,0
"5",2013,370,"Elsewhere",1.17241379310345,58.6206896551724,41.3793103448276,0,0,0.482758620689655
"6",2013,414,"Elsewhere",0,0,0,100,0,0
"7",2013,418,"Elsewhere",0,0,25,75,0,0
"8",2013,426,"Elsewhere",0,43.4782608695652,56.5217391304348,0,0,0
"9",2013,427,"Elsewhere",0.953846153846154,75.3846153846154,24.6153846153846,0,0,0.4
"10",2013,729,"Elsewhere",0.85781990521327,100,0,0,0,0.350710900473934
"11",2013,732,"Elsewhere",0,60.5442176870748,39.4557823129252,0,0,0
"12",2013,738,"Elsewhere",0,42.5867507886435,57.4132492113565,0,0,0
"13",2013,747,"Elsewhere",0,67.5105485232068,32.0675105485232,0.421940928270042,0,0
"14",2013,748,"Elsewhere",0.628895184135977,58.0736543909348,41.9263456090652,0,0,0
"15",2013,773,"Docklands",0,25.3731343283582,50.2487562189055,24.3781094527363,0,0
"16",2013,928,"Elsewhere",0,27.4509803921569,72.5490196078431,0,0,0
"17",2013,1108,"Docklands",6.6875,29.1666666666667,70.8333333333333,0,0,0
"18",2013,2381,"Elsewhere",0,61.1111111111111,38.8888888888889,0,0,0
"19",2013,2530,"Elsewhere",0.883333333333333,70,30,0,0,0.333333333333333
"20",2014,17,"CBD",0,43.3179723502304,47.926267281106,8.75576036866359,0,0
"21",2014,61,"CBD",0,22.4315068493151,74.3150684931507,3.25342465753425,0,0
"22",2014,72,"CBD",0,82.051282051282,17.9487179487179,0,0,0.307692307692308
"23",2014,84,"CBD",0.447876447876448,12.7413127413127,64.8648648648649,22.3938223938224,0,0.316602316602317
"24",2014,91,"Elsewhere",0,94.1176470588235,5.88235294117647,0,0,0.426470588235294
"25",2014,93,"CBD",1.25706214689266,82.2033898305085,17.5141242937853,0.282485875706215,0,0.751412429378531
"26",2014,94,"CBD",0,0,0,0,100,0
