"","block_year","development_key","year_completed","clue_block","street_address","resi_dwellings","studio_dwe","one_bdrm_dwe","two_bdrm_dwe","three_bdrm_dwe","student_apartments","student_beds","student_accommodation_units","car_spaces","bike_spaces","longitude","latitude","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade"
"1","333_2005","X000459",2005,333,"218-224 Abbotsford Street NORTH MELBOURNE VIC 3051",12,0,0,0,0,0,0,0,0,0,144.9459475,-37.80204879,333,2005,0,12,0,28,15,0,0,1033,0,0,0,0,0,4272,0,0,2485,0,0,0,0,0,0,812,0,1948,0,881,0,0,0,0,588,0,0,0,0,0,0,0,0,1091,1203,0,38,32,1,0,0,0,0,0,0,1,2,3,0,0,6,5,0,1,4,0,4
"2","414_2013","X000573",2013,414,"56-62 Abbotsford Street WEST MELBOURNE VIC 3003",3,0,0,0,3,0,0,0,0,0,144.9447186,-37.80679128,414,2013,0,27,5,38,56,0,0,1146,0,0,0,0,0,4238,0,0,2468,0,0,0,1372,0,0,3664,0,4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,94,1,0,0,0,0,0,0,1,0,2,1,0,2,4,1,1,0,0,0
"3","104_2011","X000288",2011,104,"150-154 A'Beckett Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9589709,-37.80959665,104,2011,430,460,123,1,216,75,4763,12871,0,3617,2303,278,0,0,0,0,1147,0,12849,0,2718,0,0,1396,0,16839,0,1806,0,0,0,0,338,6800,0,0,0,0,0,0,1821,0,0,691,93,132,15,2,0,0,0,3,2,1,1,1,2,0,7,2,0,2,6,0,0
"4","409_2014","X000563",2014,409,"1-9 Stawell Street WEST MELBOURNE VIC 3003",28,0,17,11,0,0,0,0,0,28,144.9420962,-37.80607242,409,2014,0,15,10,5,28,0,0,809,0,0,0,0,0,474,0,0,1741,0,0,0,0,0,0,628,0,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,0,0,0,25,2,1,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0
"5","257_2005","X000395",2005,257,"24-30 Barkly Place CARLTON VIC 3053",0,0,0,0,0,83,0,83,0,0,144.9614476,-37.803003,257,2005,0,176,23,10,31,122,0,4546,0,11251,0,0,0,1869,0,0,7003,0,0,0,3958,0,0,3116,0,3522,0,390,0,0,0,0,0,2303,0,0,2505,0,0,0,7107,0,0,0,127,47,3,0,0,0,0,1,2,0,2,0,3,0,1,3,0,0,1,1,1
"6","257_2002","X000394",2002,257,"16-18 Barkly Place CARLTON VIC 3053",14,0,0,0,0,0,0,0,0,0,144.9614195,-37.80320056,257,2002,0,140,0,10,15,0,0,4910,0,9135,0,0,0,1583,0,0,6702,0,0,0,3138,0,0,3865,0,2548,0,2430,0,0,0,0,0,0,0,0,289,0,0,0,379,0,0,0,115,5,1,1,0,0,0,1,2,1,4,0,3,0,5,5,0,0,1,1,0
"7","659_2015","X000706",2015,659,"Melbourne Park 200 Batman Avenue MELBOURNE VIC 3004",0,0,0,0,0,0,0,0,0,0,144.9790068,-37.82129682,659,2015,0,4920,50,0,0,0,0,25094,0,0,55367,0,0,0,0,0,10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6054,0,0,0,0,0,0,909,577,0,3,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"8","101_2014","X000279",2014,101,"49-53 Batman Street WEST MELBOURNE VIC 3003",140,0,114,26,0,0,0,0,0,90,144.9515544,-37.81113438,101,2014,0,243,51,5,519,0,0,19000,0,0,945,0,0,960,0,0,4959,0,0,0,6361,0,0,3993,0,37093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14735,0,0,108,59,357,3,0,0,0,0,2,1,0,1,1,3,0,3,2,0,0,0,0,0
"9","444_2009","X000617",2009,444,"115-129 Batman Street WEST MELBOURNE VIC 3003",0,0,0,0,0,0,0,0,0,0,144.9493029,-37.8116145,444,2009,0,30,12,4,5,0,0,3383,0,0,0,0,0,602,0,0,18783,0,0,0,5479,0,0,2984,0,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4017,0,0,39,170,5,1,2,0,0,1,2,0,2,0,0,0,0,2,6,1,0,0,0,2
"10","87_2003","X000231",2003,87,"11-21 Bennetts Lane MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9676825,-37.80916563,87,2003,670,659,0,8,215,0,0,15479,0,0,2222,4430,0,1408,0,0,36122,0,0,0,4656,0,0,1185,0,13377,0,1310,0,0,0,0,209,0,0,0,0,0,0,0,3340,0,0,0,120,139,16,1,0,0,2,2,1,2,3,1,1,0,6,13,4,2,1,3,1
"11","87_2010","X000229",2010,87,"10-14 Bennetts Lane MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.967921,-37.80905204,87,2010,560,811,12,8,294,0,0,15847,0,0,1612,4411,0,1463,0,0,36508,0,0,0,5278,0,0,1082,0,16774,0,1441,0,0,0,0,0,0,0,0,567,0,0,0,3102,0,0,0,99,140,15,3,0,0,1,4,2,1,4,1,0,1,3,12,1,6,2,1,0
"12","260_2013","X000404",2013,260,"97-115 Berkeley Street MELBOURNE VIC 3000",0,0,0,0,0,0,188,188,0,0,144.9587954,-37.80310281,260,2013,320,157,0,0,61,0,0,4271,0,0,606,0,0,846,9027,0,2148,0,0,0,3142,0,0,541,0,5209,0,1459,0,0,0,0,1442,0,0,0,0,0,0,0,2082,0,0,0,83,0,3,2,0,0,0,0,0,0,2,0,2,0,0,1,0,0,5,1,0
"13","239_2006","X000362",2006,239,"223 Berkeley Street MELBOURNE VIC 3000",0,0,0,0,0,70,0,70,0,0,144.9584344,-37.80027561,239,2006,0,144,25,3,2,70,3186,4589,0,4136,0,0,3228,373,0,0,4111,0,0,0,1281,0,0,5822,0,0,0,0,0,0,0,0,839,1882,0,0,0,0,0,0,0,0,0,70,136,6,4,2,0,0,0,1,1,2,14,1,0,0,4,3,0,0,1,0,1
"14","375_2003","X000532",2003,375,"4-12 Blackwood Street NORTH MELBOURNE VIC 3051",13,0,0,0,0,0,0,0,0,0,144.9547459,-37.80191511,375,2003,230,385,0,1,82,0,10634,8311,0,0,833,0,0,0,0,0,7413,0,12850,0,12089,0,0,4633,0,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,0,0,356,273,55,3,1,0,1,1,1,0,3,0,3,0,1,9,13,0,2,0,0,4
"15","48_2010","X000122",2010,48,"65-71 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9714501,-37.81227537,48,2010,1237,2038,354,1,11,0,6802,15342,0,0,7931,629,0,0,0,0,14699,0,29466,0,399,0,0,753,0,1267,0,2132,0,0,0,0,777,0,0,0,0,0,0,0,5286,0,0,957,20,9,25,8,0,2,1,1,1,7,3,1,1,1,10,17,1,6,12,1,0
"16","47_2010","X000114",2010,47,"131-135 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.969468,-37.81300651,47,2010,150,548,81,0,124,0,5290,37238,0,0,3503,6119,0,0,0,0,80443,0,16047,0,0,0,1118,2519,0,12122,0,4031,0,0,0,0,2035,0,0,0,44708,0,0,0,0,0,0,951,24,60,13,1,0,0,1,3,0,2,3,1,0,0,5,4,4,1,20,1,0
"17","45_2007","X000106",2007,45,"Centrepoint Mall 283-297 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9652244,-37.81420896,45,2007,380,1508,352,0,44,0,1760,16170,0,4765,7420,0,0,0,0,0,3270,0,0,0,0,0,0,495,0,3151,0,28149,0,149,0,0,5696,0,0,0,0,0,405,0,18531,0,819,0,0,0,26,6,0,3,0,4,0,5,0,4,4,0,10,4,0,3,89,0,1
"18","44_2005","X000102",2005,44,"359-385 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9629215,-37.81492946,44,2005,0,481,80,0,48,0,3226,36489,0,663,2504,2454,1133,0,0,0,66451,0,0,0,2632,0,0,167,0,3397,0,9553,0,0,0,0,457,0,0,0,0,0,0,0,18616,0,643,213,80,0,25,21,0,1,2,2,2,20,18,5,11,0,15,50,2,9,34,2,4
"19","44_2007","X000103",2007,44,"393-403 Bourke Street MELBOURNE VIC 3000",92,0,0,0,0,0,0,0,0,0,144.9621906,-37.81513916,44,2007,0,938,83,0,141,0,3091,40764,0,3391,4319,2454,1238,0,0,0,70412,0,16262,0,3582,0,0,235,0,7934,0,13769,519,0,0,0,587,0,0,0,0,0,0,0,10381,0,533,405,80,51,35,18,0,0,3,6,2,20,17,2,9,0,22,69,4,11,44,3,3
"20","43_2005","X000095",2005,43,"RACV Building 483-501 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9595846,-37.81588557,43,2005,807,588,137,0,0,0,2568,24090,0,0,6840,8440,0,0,0,0,85518,0,0,0,26740,0,0,2484,0,0,0,1945,0,0,0,0,0,0,0,0,0,0,2280,0,13874,0,0,0,588,0,5,15,2,0,4,0,0,23,0,3,1,3,7,52,3,2,1,1,2
"21","42_2012","X000094",2012,42,"527-555 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,300,0,144.9578145,-37.81636454,42,2012,995,785,73,0,0,0,0,33756,0,0,1817,5522,1504,0,0,0,69894,0,0,0,6332,0,0,2959,0,1210,0,762,0,0,0,0,0,0,0,0,0,0,24815,0,10374,0,0,64,181,0,18,25,0,3,1,7,3,27,9,6,4,6,18,94,6,3,4,4,3
"22","51_2006","X000124",2006,51,"636-638 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9547125,-37.81628199,51,2006,0,462,35,0,393,0,2476,21868,0,0,7332,0,0,0,0,0,32577,0,0,0,20118,0,0,2190,0,29239,0,484,0,0,0,0,4059,0,0,0,0,0,9405,0,897,0,275,0,500,48,14,2,0,1,1,0,0,4,0,4,2,0,1,8,4,2,2,3,1
"23","52_2015","X000129",2015,52,"562-574 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,341,144.9567556,-37.8155088,52,2015,458,1037,807,0,0,0,0,70724,0,0,4775,18334,0,0,0,0,158531,0,15593,0,36103,0,0,2699,0,0,0,1754,0,0,0,0,0,0,0,0,0,0,28156,0,9042,0,0,513,875,0,29,4,0,1,1,2,0,12,3,3,0,0,9,25,11,4,8,1,2
"24","55_2004","X000136",2004,55,"General Post Office 338-352 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9632886,-37.81360352,55,2004,0,430,70,0,1,0,11696,9056,0,0,2707,0,0,0,0,0,1641,0,0,0,0,0,0,2055,0,0,0,57654,0,136,0,0,3969,0,0,0,0,0,6047,0,0,0,0,0,20,0,9,4,0,0,0,0,0,0,3,0,0,0,2,2,0,0,59,0,0
"25","55_2010","X000135",2010,55,"314-336 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9638271,-37.81344774,55,2010,400,599,494,0,1,0,14411,13456,0,0,4007,0,0,0,0,0,1468,0,0,0,0,0,0,1973,0,0,0,60096,0,0,0,0,2878,0,0,0,0,0,2038,0,2444,0,0,0,15,0,12,3,0,1,0,0,0,1,1,0,0,0,4,4,0,1,55,0,0
"26","55_2009","X000134",2009,55,"294-312 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9644292,-37.8133313,55,2009,400,599,494,0,1,0,14411,13456,0,0,4007,0,0,0,0,0,1468,0,0,0,0,0,0,1973,0,0,0,60096,0,0,0,0,2878,0,0,0,0,0,2038,0,2444,0,0,0,15,0,12,3,0,1,0,0,0,1,1,0,0,0,4,4,0,1,55,0,0
"27","56_2011","X000140",2011,56,"Target Centre 222-244 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9662781,-37.81273571,56,2011,554,2471,93,0,4,0,0,15109,0,2406,7799,0,0,0,0,0,9775,0,0,0,0,0,0,0,0,487,0,22313,0,156,0,0,1713,0,0,0,6855,0,12503,0,4703,0,0,130,0,0,38,7,0,4,0,4,0,3,4,7,4,0,10,7,0,3,71,0,0
"28","56_2010","X000139",2010,56,"206-218 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9668682,-37.81267467,56,2010,554,2471,93,0,4,0,0,15109,0,2406,7799,0,0,0,0,0,9775,0,0,0,0,0,0,0,0,487,0,22313,0,156,0,0,1713,0,0,0,6855,0,12503,0,4703,0,0,130,0,0,38,7,0,4,0,4,0,3,4,7,4,0,10,7,0,3,71,0,0
"29","57_2009","X000142",2009,57,"140 East 134-144 Bourke Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9688374,-37.81202281,57,2009,1518,2895,82,0,126,0,8835,22366,0,3192,14066,1784,0,0,0,0,10921,0,26465,0,7700,0,0,0,0,11333,0,6473,0,0,0,0,1657,0,0,0,3274,0,1165,0,1934,0,0,827,127,215,43,6,0,1,1,7,3,6,6,6,1,0,18,21,0,5,25,0,0
"30","263_2008","X000411",2008,263,"The Bellagio Carlton 63-69 Bouverie Street CARLTON VIC 3053",44,0,0,0,0,0,0,0,0,0,144.9613774,-37.80495785,263,2008,0,30,0,0,238,0,0,7548,0,0,0,1675,0,0,0,0,10457,0,7860,0,0,0,0,3458,0,20720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13384,0,0,454,45,262,1,0,0,0,1,0,3,0,0,1,0,0,15,4,1,0,3,0,0
"31","257_2003","X000390",2003,257,"117-121 Bouverie Street CARLTON VIC 3053",0,0,0,0,0,39,0,39,0,0,144.9615731,-37.80376613,257,2003,0,140,8,9,29,39,0,4763,0,9135,0,0,0,1491,0,0,6665,0,0,0,3356,0,0,3865,0,3324,0,2278,0,0,0,0,0,900,0,0,0,0,0,0,6025,0,0,0,95,25,2,0,0,0,0,1,2,1,2,0,3,0,3,3,0,0,0,1,0
"32","257_2006","X000393",2006,257,"139-143 Bouverie Street CARLTON VIC 3053",0,0,0,0,0,93,0,93,0,0,144.9616992,-37.80322394,257,2006,0,176,23,10,31,122,0,4268,0,11251,0,0,0,1869,0,0,7003,0,0,0,3958,0,0,3290,0,2690,0,390,0,0,0,0,0,2303,0,0,2505,0,0,0,7107,0,0,0,127,47,3,0,0,0,0,1,2,0,2,0,3,0,1,3,0,0,1,1,1
"33","242_2009","X000367",2009,242,"Melbourne University 197-235 Bouverie Street CARLTON VIC 3053",0,0,0,0,0,0,10,10,0,0,144.9616182,-37.80103675,242,2009,0,240,80,0,1,0,0,2656,0,23367,2246,0,0,0,0,0,2775,0,0,0,3483,0,0,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,0,0,0,188,0,3,1,0,0,0,9,0,1,1,1,0,0,0,6,0,1,0,0,0
"34","265_2012","X000425",2012,265,"51 Cardigan Street CARLTON VIC 3053",0,0,0,0,0,0,0,0,0,0,144.9642508,-37.80552905,265,2012,0,536,34,9,10,473,388,14244,0,13372,964,0,0,1267,0,0,11444,0,15538,0,5304,0,0,1168,0,741,0,1315,0,0,0,0,0,11508,0,0,0,0,0,0,2625,0,0,465,324,165,10,3,0,0,0,4,0,0,0,0,1,0,9,1,1,1,2,0,1
"35","245_2002","X000369",2002,245,"203-225 Cardigan Street CARLTON VIC 3053",33,0,0,0,0,0,0,0,0,0,144.9649452,-37.80170813,245,2002,0,156,6,1,178,0,0,2609,0,528,0,0,0,0,0,0,4544,0,0,0,3493,0,0,3146,0,20090,0,1730,0,0,0,0,0,0,0,0,0,0,1688,0,1633,0,0,0,51,67,2,6,0,1,1,3,0,1,1,1,1,0,2,10,0,0,3,0,2
"36","203_2011","X000329",2011,203,"437-439 Cardigan Street CARLTON VIC 3053",0,0,0,0,0,0,14,14,0,0,144.9659805,-37.7958311,203,2011,0,75,0,51,12,17,0,463,0,0,0,0,0,6580,0,0,0,0,0,0,0,0,0,2924,0,932,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,0,0,0,0,0,52,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"37","353_2014","X000490",2014,353,"76-78 Chapman Street NORTH MELBOURNE VIC 3051",0,0,0,0,0,0,0,0,0,0,144.9478971,-37.79531399,353,2014,0,80,8,52,169,0,3852,4999,0,0,0,0,0,9691,6610,0,1420,0,0,0,2846,0,0,21471,0,12563,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,175,3,0,0,0,0,2,0,0,8,0,1,0,1,1,0,0,1,0,0
"38","432_2003","X000594",2003,432,"30-44 Chetwynd Street WEST MELBOURNE VIC 3003",64,0,0,0,0,0,0,0,0,0,144.9523847,-37.80708219,432,2003,0,66,3,16,64,0,0,2846,0,0,0,0,0,2583,0,0,6412,0,0,0,3825,1637,0,7669,0,5524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,66,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
"39","615_2009","X000688",2009,615,"126-158 Clarendon Street EAST MELBOURNE VIC 3002",18,0,0,0,0,0,0,0,0,0,144.9841024,-37.812282,615,2009,0,64,0,17,126,0,0,11742,0,0,0,2518,15399,5123,7125,0,0,0,0,0,9069,0,0,6750,0,24040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,0,155,142,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"40","615_2010","X000689",2010,615,"126-158 Clarendon Street EAST MELBOURNE VIC 3002",86,0,0,0,0,0,0,0,0,0,144.9841024,-37.812282,615,2010,0,64,0,17,126,0,0,11742,0,0,0,2518,15399,5123,7125,0,0,0,0,0,9069,0,0,6750,0,24040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,0,155,142,1,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"41","361_2012","X000507",2012,361,"2-14 Cobden Street NORTH MELBOURNE VIC 3051",0,0,0,0,0,38,0,38,0,0,144.9574951,-37.80552735,361,2012,150,193,12,1,142,69,0,3791,0,0,727,0,0,0,0,0,3983,0,0,0,3886,0,0,187,0,8136,0,473,0,0,0,0,610,1309,0,0,0,0,0,0,582,0,0,0,21,113,5,1,0,0,1,0,0,0,0,2,0,0,5,3,1,0,1,0,0
"42","26_2013","X000060",2013,26,"167-173 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,136,0,144.9683148,-37.81566141,26,2013,0,784,407,0,72,0,15054,22500,0,0,5327,5430,840,0,0,0,43051,0,16929,0,0,0,9449,1877,0,11853,0,3777,0,0,0,0,0,0,0,0,23442,0,0,0,3580,0,0,698,124,0,12,1,0,1,1,0,3,3,9,1,1,1,5,13,0,1,15,0,1
"43","25_2009","X000057",2009,25,"241-245 Collins Street MELBOURNE VIC 3000",30,0,0,0,0,0,0,0,0,0,144.9658297,-37.81606227,25,2009,55,647,104,0,215,0,9754,29388,0,8725,2480,3582,777,0,0,0,52289,0,3968,0,4777,0,0,839,0,12696,0,12261,0,0,0,0,3460,0,0,0,0,0,0,0,15397,1399,1090,75,66,16,35,19,0,4,0,23,1,15,12,2,14,1,23,27,3,2,64,1,19
"44","25_2007","X000058",2007,25,"271-285 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9649787,-37.81654626,25,2007,305,897,125,0,198,0,11066,29655,0,8945,3204,3582,1352,0,0,0,49530,0,3968,0,4920,0,0,839,0,9291,0,12968,0,0,0,0,3895,0,0,0,0,0,12649,0,4132,1512,1565,77,82,0,33,20,0,4,0,20,1,12,14,1,20,1,20,30,3,2,63,1,19
"45","25_2012","X000059",2012,25,"287-301 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9644915,-37.81642214,25,2012,55,591,134,0,230,0,9552,29326,0,5557,1990,4272,1787,0,0,0,50486,0,3968,0,4777,0,0,964,0,12600,0,11884,0,0,0,0,3120,0,0,0,0,0,2399,0,18615,1306,0,75,66,16,32,19,0,2,0,15,1,13,10,1,14,1,33,26,2,2,61,1,27
"46","24_2012","X000055",2012,24,"351-357 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,40,0,144.9627882,-37.8172905,24,2012,88,1033,214,0,175,0,0,63211,0,3351,3687,3194,0,0,0,0,115866,0,17543,0,5318,0,0,1387,0,14439,0,3959,0,0,0,0,1168,0,0,0,0,0,25243,0,15332,0,0,688,67,95,16,20,0,2,6,9,0,39,5,3,3,3,8,48,1,7,10,3,2
"47","31_2002","X000070",2002,31,"Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000",232,0,0,0,0,0,0,0,0,0,144.9543508,-37.81867521,31,2002,0,438,34,0,227,0,0,18118,0,3778,5320,0,0,0,0,0,51194,0,0,0,10956,0,0,1138,0,13637,0,3124,0,0,0,0,9686,0,0,0,0,0,7804,0,5485,0,0,300,148,210,7,2,0,1,0,0,0,7,2,3,3,0,7,3,3,0,2,2,2
"48","31_2015","X000068",2015,31,"568-580 Collins Street MELBOURNE VIC 3000",588,0,0,0,0,0,0,0,266,190,144.9554242,-37.81836589,31,2015,80,511,114,0,558,0,0,31841,0,11057,5788,2043,303,0,0,0,29466,0,4147,0,19804,0,0,824,0,39405,0,5569,0,0,0,0,6084,2145,0,0,24180,0,12854,0,6060,0,0,355,163,417,30,2,0,2,1,4,1,7,5,1,2,0,10,15,1,0,10,2,0
"49","31_2003","X000067",2003,31,"McPherson's Building 546-566 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9558442,-37.81824449,31,2003,0,438,34,0,227,0,0,18118,0,3778,5320,0,0,0,0,0,51194,0,0,0,10956,0,0,1138,0,13637,0,3124,0,0,0,0,9686,0,0,0,0,0,7804,0,5485,0,0,300,148,210,7,2,0,1,0,0,0,7,2,3,3,0,7,3,3,0,2,2,2
"50","32_2005","X000073",2005,32,"480-490 Collins Street MELBOURNE VIC 3000",29,0,0,0,0,0,0,0,0,0,144.9579658,-37.81764139,32,2005,250,558,52,0,74,0,0,42996,0,0,2086,6493,558,0,0,0,114514,0,3684,0,23804,0,0,2173,0,6000,0,1248,0,0,0,0,2075,0,0,0,0,0,17163,0,18127,0,0,240,523,15,9,17,0,0,1,3,3,36,8,3,5,5,10,51,3,2,6,9,1
"51","33_2008","X000076",2008,33,"454-456 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9592317,-37.81734734,33,2008,1237,1606,243,0,233,0,9956,25166,0,4836,8289,1897,1177,0,0,0,63201,0,0,0,6988,0,4310,692,0,16223,0,3304,0,0,0,0,1764,0,0,0,0,0,4206,0,5229,0,0,0,162,24,32,39,1,1,5,15,0,45,13,5,3,3,14,124,1,7,12,6,1
"52","33_2012","X000074",2012,33,"400-402 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9609385,-37.8168249,33,2012,2169,1937,246,0,235,0,9917,26201,0,6952,9026,2127,1394,0,0,0,50435,0,0,0,6939,0,4876,692,0,16323,0,3746,0,0,0,0,1776,0,0,0,0,0,0,0,16383,0,0,0,148,24,33,33,1,0,4,10,0,35,14,5,0,1,17,91,1,7,11,4,1
"53","35_2011","X000083",2011,35,"258-274 Collins Street MELBOURNE VIC 3000",0,0,0,0,0,0,0,0,0,0,144.9648904,-37.81537999,35,2011,1250,1472,275,0,86,0,20687,32799,0,476,3944,3512,3932,0,0,0,18871,0,0,0,0,0,0,392,0,5919,0,26705,0,0,0,0,4931,0,0,0,0,0,0,0,9217,2117,5169,0,0,0,41,18,0,8,3,15,1,6,32,10,105,1,31,50,0,4,152,1,29
"54","47_2011","X000116",2011,47,"20-26 Coromandel Place MELBOURNE VIC 3000",90,0,0,0,0,0,0,0,0,0,144.9692548,-37.81302783,47,2011,0,1161,416,0,124,0,30994,43872,0,0,4755,6119,0,0,0,0,119906,0,8915,0,10808,0,2685,2405,0,12094,0,4684,0,0,0,0,1228,0,0,0,6004,0,0,0,597,0,0,398,661,0,28,1,0,0,1,3,0,2,2,1,1,0,5,2,6,1,25,2,0
"55","347_2015","X000488",2015,347,"90-98 Curzon Street NORTH MELBOURNE VIC 3051",16,0,12,4,0,0,0,0,0,0,144.9486062,-37.80180468,347,2015,50,60,0,50,24,0,0,338,0,0,0,0,0,6173,0,0,0,0,0,0,0,0,0,1850,0,2363,0,0,0,0,0,0,0,0,0,0,1317,0,0,0,0,0,0,0,1,26,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"56","861_2003","X000946",2003,861,"143-151 Domain Road SOUTH YARRA VIC 3141",12,0,0,0,0,0,0,0,0,0,144.9810994,-37.83420325,861,2003,0,420,56,72,250,0,5533,7772,0,0,1214,0,995,13782,0,0,0,0,0,0,811,0,0,20125,0,23129,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,244,8,0,0,0,0,3,1,0,3,0,0,0,2,1,0,0,9,0,0
"57","219_2009","X000355",2009,219,"Rosso Apartments 262-276 Drummond Street CARLTON VIC 3053",58,0,0,0,0,0,0,0,0,0,144.9688791,-37.79976069,219,2009,0,80,0,65,74,0,0,1719,0,800,0,0,0,10749,0,0,400,0,0,0,2606,0,0,3995,0,10610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,16,150,2,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0
"58","443_2011","X000611",2011,443,"100-154 Batman Street WEST MELBOURNE VIC 3003",0,0,0,0,0,0,0,0,0,0,144.9489427,-37.81101185,443,2011,0,260,0,0,0,0,0,1301,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17897,0,0,0,1065,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1
"59","440_2005","X000604",2005,440,"104-128 Dudley Street WEST MELBOURNE VIC 3003",103,0,0,0,0,0,0,0,0,0,144.9512713,-37.8092538,440,2005,0,94,31,2,119,0,0,1048,0,0,0,0,0,0,0,0,9484,0,0,0,4982,1275,0,4846,0,12143,0,0,0,0,0,0,1331,0,0,0,0,0,0,0,1057,0,0,0,137,166,2,0,0,1,1,1,0,1,2,0,4,0,1,6,1,0,1,2,1
