"","block_year","development_key","year_completed","clue_block","street_address","resi_dwellings","studio_dwe","one_bdrm_dwe","two_bdrm_dwe","three_bdrm_dwe","student_apartments","student_beds","student_accommodation_units","car_spaces","bike_spaces","longitude","latitude","block_id","census_year","bar_pub_patron_limit","cafe_restaurant_seats_indoor","cafe_restaurant_seats_outdoor","dwelling_house_townhouse","dwelling_residential_apartments","dwelling_student_apartments","m2_commercial_accommodation","m2_common_area","m2_community_use","m2_educational_research","m2_entertainment_recreation_indoor","m2_equipment_installation","m2_hospital_clinic","m2_house_townhouse","m2_institutional_accommodation","m2_manufacturing","m2_office","m2_park_reserve","m2_parking_commercial_covered","m2_parking_commercial_uncovered","m2_parking_private_covered","m2_parking_private_uncovered","m2_performances_conferences_ceremonies","m2_private_outdoor_space","m2_public_display_area","m2_residential_apartment","m2_retail_cars","m2_retail_shop","m2_retail_showroom","m2_retail_stall","m2_sports_and_recreation_outdoor","m2_square_promenade","m2_storage","m2_student_accommodation","m2_transport","m2_transport_storage_uncovered","m2_unoccupied_under_construction","m2_unoccupied_under_demolition_condemned","m2_unoccupied_under_renovation","m2_unoccupied_undeveloped_site","m2_unoccupied_unused","m2_wholesale","m2_workshop_studio","parking_n_commercial","parking_n_private","parking_n_residential","services_accommodation_and_food","services_administrative_and_support","services_agriculture_forestry_and_fishing","services_arts_and_recreation","services_construction","services_education_and_training","services_electricity_gas_water_and_waste","services_financial_and_insurance","services_health_care_and_social_assistance","services_information_media_and_telecommunications","services_manufacturing","services_mining","services_other","services_professional_scientific_and_technical","services_public_administration_and_safety","services_rental_hiring_and_real_estate","services_retail_trade","services_transport_postal_and_warehousing","services_wholesale_trade"
"394","1108_2010","X001066",2010,1108,"790-814 Collins Street DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,0,0,144.9458326,-37.82104416,1108,2010,990,1845,952,0,431,0,0,84837,0,7998,5469,10066,345,0,0,0,190318,0,12983,34029,49386,0,0,93901,0,44415,0,4927,0,0,0,43042,6953,0,0,0,17724,0,0,7359,3994,0,0,871,1280,426,24,4,0,6,2,2,2,7,4,2,3,0,10,2,1,2,7,4,1
"395","2530_2013","X001157",2013,2530,"Newmarket Apartments 247-263 Racecourse Road KENSINGTON VIC 3031",60,0,42,18,0,0,0,0,53,20,144.9327059,-37.78868063,2530,2013,490,85,81,17,110,0,0,2648,0,0,0,0,0,1993,0,0,0,0,0,0,2878,0,0,3130,0,4451,0,0,0,0,0,0,0,0,0,0,4446,0,0,0,0,0,0,0,2,104,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"396","1110_2010","X001136",2010,1110,"380-394 Docklands Drive DOCKLANDS VIC 3008",0,0,0,0,0,0,0,0,0,0,144.9411967,-37.81308483,1110,2010,498,823,451,0,104,0,0,26266,0,5843,4754,5002,0,0,0,0,10860,0,90570,0,24850,0,0,64006,0,13680,0,38728,0,0,0,0,0,0,0,0,2118,0,0,58202,15252,0,0,3494,1130,79,19,0,0,4,2,1,2,0,2,1,1,0,7,2,0,1,123,0,0
"397","920_2008","X000959",2008,920,"Royal Womens Hospital 18-22 Flemington Road PARKVILLE VIC 3050",0,0,0,0,0,0,0,0,0,0,144.9549953,-37.79885018,920,2008,0,505,52,0,0,0,0,31050,0,40423,1608,0,157432,0,0,0,0,0,80343,0,0,0,0,0,0,0,0,957,0,0,0,0,0,0,0,0,216,0,0,0,1200,0,0,1859,0,0,4,0,0,0,0,0,0,1,48,0,0,0,3,2,0,0,6,2,0
"398","264_2013","X000413",2013,264,"136-154 Victoria Street CARLTON VIC 3053",0,0,0,0,0,0,0,0,0,0,144.962512,-37.80619518,264,2013,0,40,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29600,0,0,0,972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"399","655_2008","X000703",2008,655,"Treasury Apartments 33 Cliveden Close EAST MELBOURNE VIC 3002",27,0,0,0,0,0,0,0,0,0,144.9767049,-37.81712324,655,2008,0,50,35,0,282,0,5528,7013,0,0,0,0,0,0,0,0,0,0,0,0,9134,0,0,21702,0,27514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,238,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"400","2381_2013","X001144",2013,2381,"177-187 Boundary Road NORTH MELBOURNE VIC 3051",54,0,33,21,0,0,0,0,0,0,144.9395663,-37.78864444,2381,2013,0,37,0,0,76,0,0,4064,0,0,0,0,0,0,0,0,3100,0,0,0,9898,0,0,0,0,5740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4411,0,0,0,215,109,1,1,0,0,1,2,1,0,2,0,1,0,4,8,0,0,0,2,1
"401","2381_2009","X001145",2009,2381,"177-187 Boundary Road NORTH MELBOURNE VIC 3051",0,0,0,0,0,0,0,0,0,0,144.9395663,-37.78864444,2381,2009,0,30,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,1729,0,0,0,6823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320,0,5806,0,0,0,215,0,1,0,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,2,0
"402","2381_2011","X001146",2011,2381,"177-187 Boundary Road NORTH MELBOURNE VIC 3051",76,0,0,0,0,0,0,0,0,0,144.9395663,-37.78864444,2381,2011,0,30,0,0,0,0,0,1692,0,0,0,0,0,0,0,0,1729,0,0,0,6823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3320,0,5806,0,0,0,215,0,1,0,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,2,0
"403","103_2012","X000281",2012,103,"Pegasus Apartment Hotel 206-216 A'Beckett Street MELBOURNE VIC 3000",2,0,0,0,2,279,0,279,0,0,144.9570807,-37.81005923,103,2012,200,233,12,0,0,0,8820,5796,0,2757,1833,0,0,0,0,0,4277,0,0,0,0,0,0,1753,0,0,0,0,0,0,0,0,0,0,0,0,28168,0,0,0,7704,0,0,95,58,0,5,0,0,0,2,1,1,2,0,0,0,0,6,4,0,0,0,0,0
